backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,71,500,0.9781,0.9186,1376.22,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,71,1000,0.9786,0.9325,750.47,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,0,0.5086,0.6207,18182.45,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,100,0.9221,0.6207,8069.52,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,200,0.9543,0.7814,6421.6,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,500,0.9716,0.8957,1414.06,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,1000,0.975,0.9285,743.53,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,71,0,0.633,0.7486,17966.01,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,71,100,0.9776,0.7486,7916.32,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,71,200,0.9832,0.8956,6310.12,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,71,500,0.9843,0.9375,1364.23,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,71,1000,0.9843,0.9406,729.57,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,71,0,0.5553,0.6705,4634.22,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,71,100,0.9662,0.6705,3020.84,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,71,200,0.9878,0.8393,2964.96,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,71,500,0.9968,0.9448,1143.07,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,71,1000,0.9991,0.9805,639.53,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,0,0.5083,0.6176,4555.56,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,100,0.9265,0.6176,3457.96,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,200,0.9631,0.7767,2792.95,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,500,0.9852,0.8946,1158.42,136,5000,1024,42
